condition,rt_reject,choice,session
3,0.366799999999785,0,2
9,NaN,1,2
9,NaN,1,2
1,NaN,1,2
2,0.46875,0,2
4,NaN,1,2
7,NaN,1,2
2,0.427783333329899,0,2
2,0.489783333334344,0,2
8,NaN,1,2
1,NaN,1,2
5,NaN,1,2
5,NaN,1,2
1,NaN,1,2
3,0.707733333335455,0,2
4,NaN,1,2
5,NaN,1,2
2,0.410783333334621,0,2
6,0.406766666665135,0,2
8,NaN,1,2
4,NaN,1,2
5,NaN,1,2
8,NaN,1,2
1,NaN,1,2
9,NaN,1,2
7,NaN,1,2
1,NaN,1,2
3,0.418783333329884,0,2
7,NaN,1,2
8,NaN,1,2
6,0.378749999999854,0,2
8,2.29750000000058,0,2
5,NaN,1,2
7,NaN,1,2
6,0.413800000000265,0,2
7,NaN,1,2
5,NaN,1,2
3,0.3897666666644,0,2
5,NaN,1,2
1,NaN,1,2
9,NaN,1,2
9,NaN,1,2
9,NaN,1,2
1,NaN,1,2
4,NaN,1,2
7,NaN,1,2
6,0.436766666669428,0,2
1,NaN,1,2
8,NaN,1,2
3,0.490766666664967,0,2
2,0.498750000000655,0,2
8,NaN,1,2
4,2.98738333332949,0,2
9,NaN,1,2
3,0.467766666664829,0,2
6,0.380783333334875,0,2
6,0.532783333335829,0,2
5,NaN,1,2
3,0.407766666670796,0,2
7,NaN,1,2
7,NaN,1,2
2,0.368783333329702,0,2
2,0.367799999999988,0,2
6,0.397766666670577,0,2
6,0.408783333334213,0,2
4,NaN,1,2
1,NaN,1,2
2,0.399766666664618,0,2
9,NaN,1,2
5,0.702733333329888,0,2
8,NaN,1,2
3,0.413783333335232,0,2
7,NaN,1,2
3,0.410783333334621,0,2
8,NaN,1,2
4,NaN,1,2
3,0.386799999998402,0,2
1,NaN,1,2
5,0.120833333335213,0,2
1,NaN,1,2
2,0.365799999999581,0,2
8,NaN,1,2
5,NaN,1,2
8,NaN,1,2
8,3.47733333333417,0,2
9,NaN,1,2
8,NaN,1,2
7,NaN,1,2
9,NaN,1,2
3,0.37880000000041,0,2
8,NaN,1,2
7,NaN,1,2
7,NaN,1,2
1,NaN,1,2
6,0.532733333334363,0,2
9,NaN,1,2
5,NaN,1,2
6,0.511766666670155,0,2
2,0.483766666664451,0,2
3,0.437766666669631,0,2
2,0.417766666664647,0,2
6,0.429783333334854,0,2
9,NaN,1,2
6,0.443766666665397,0,2
8,NaN,1,2
9,NaN,1,2
9,NaN,1,2
9,NaN,1,2
4,NaN,1,2
4,NaN,1,2
2,0.471766666671101,0,2
7,NaN,1,2
8,NaN,1,2
4,NaN,1,2
8,NaN,1,2
3,0.428766666665979,0,2
4,NaN,1,2
5,NaN,1,2
2,0.418733333330238,0,2
5,NaN,1,2
3,0.343783333334613,0,2
5,NaN,1,2
5,NaN,1,2
1,NaN,1,2
3,0.384783333330233,0,2
1,NaN,1,2
2,0.48876666666547,0,2
3,0.36578333333,0,2
3,0.404766666664727,0,2
3,0.389783333335799,0,2
1,0.25879999999961,0,2
4,NaN,1,2
4,NaN,1,2
7,NaN,1,2
7,NaN,1,2
1,NaN,1,2
6,0.429783333334854,0,2
4,NaN,1,2
4,NaN,1,2
6,0.447766666660755,0,2
6,0.384766666664291,0,2
5,NaN,1,2
6,0.467749999994339,0,2
1,NaN,1,2
9,NaN,1,2
2,0.451750000005632,0,2
8,NaN,1,2
5,NaN,1,2
2,0.39774999999463,0,2
9,NaN,1,2
6,0.601733333329321,0,2
1,NaN,1,2
7,NaN,1,2
7,NaN,1,2
2,0.619716666670683,0,2
4,NaN,1,2
7,NaN,1,2
1,0.396733333331213,0,2
6,0.497749999999542,0,2
4,NaN,1,2
3,0.536749999995664,0,2
1,NaN,1,2
9,NaN,1,2
8,NaN,1,2
1,NaN,1,2
2,0.511750000005122,0,2
7,NaN,1,2
4,NaN,1,2
2,0.531749999994645,0,2
6,0.397750000000997,0,2
2,0.391733333339289,0,2
5,NaN,1,2
2,0.374749999993583,0,2
4,2.07451666666384,0,2
6,NaN,1,2
9,NaN,1,2
5,NaN,1,2
7,NaN,1,2
8,NaN,1,2
6,0.565733333340177,0,2
2,0.460733333338794,0,2
3,0.395733333330099,0,2
7,NaN,1,2
9,NaN,1,2
9,NaN,1,2
7,NaN,1,2
5,NaN,1,2
4,NaN,1,2
2,0.458766666659358,0,2
1,NaN,1,2
5,NaN,1,2
6,0.401733333330412,0,2
4,NaN,1,2
3,0.38276666667025,0,2
7,NaN,1,2
4,NaN,1,2
3,0.372766666670032,0,2
7,NaN,1,2
9,NaN,1,2
8,NaN,1,2
3,0.387766666659445,0,2
4,NaN,1,2
8,NaN,1,2
7,NaN,1,2
6,0.37076666665962,0,2
8,NaN,1,2
7,NaN,1,2
9,0.541716666664797,0,2
1,NaN,1,2
6,0.457766666669158,0,2
8,NaN,1,2
5,NaN,1,2
9,NaN,1,2
8,NaN,1,2
1,NaN,1,2
8,NaN,1,2
5,NaN,1,2
2,0.432749999996304,0,2
9,NaN,1,2
3,0.771699999999328,0,2
6,0.404766666670184,0,2
5,NaN,1,2
9,1.1046666666698,0,2
